word,label
و,31691
بود,26661
که,14022
به,12754
از,12284
غذا,9008
هم,8996
خیلی,8594
با,7865
کیفیت,7812
سفارش,7750
شده,7336
این,6744
بود.,6147
در,5916
رو,5688
اصلا,5610
من,5608
سرد,4951
پیتزا,4854
ولی,4735
بسیار,4603
نبود,4322
واقعا,4048
بد,4042
خوب,3825
یک,3469
مرغ,3323
کاملا,3178
ارسال,3140
تا,2945
بی,2940
برای,2741
یه,2701
کم,2653
تحویل,2618
سیب,2512
مزه,2482
متاسفانه,2312
طعم,2289
فقط,2276
ساعت,2178
نان,2166
پایین,2148
بودم,2130
قیمت,2109
بود،,2088
اما,2080
سس,2066
دیگه,2060
پیک,2020
رستوران,1978
نداشت,1965
داده,1942
دادم,1926
اینکه,1923
رسید,1907
بسته,1856
بودن,1846
داشت,1845
بعد,1818
مونده,1814
تو,1803
نسبت,1799
نون,1748
ساندویچ,1743
زمینی,1742
حجم,1732
کیک,1703
بار,1683
گوشت,1679
پنیر,1658
دو,1590
کرده,1588
شیرینی,1585
تازه,1572
شد,1563
…,1515
خشک,1449
سالاد,1443
را,1443
کباب,1338
قبل,1292
قابل,1286
نه,1286
اسنپ,1281
تاخیر,1280
همیشه,1267
بندی,1243
راضی,1230
هیچ,1229
نبود.,1229
ریخته,1193
سوخته,1175
همه,1173
برنج,1166
جای,1159
خمیر,1130
افتضاح,1128
بیشتر,1124
ما,1122
روی,1115
زیاد,1103
سلام,1086
نشده,1076
دقیقه,1065
جوجه,1057
مشتری,1049
نیست,1043
باید,1036
استفاده,1033
مثل,1029
داخل,1025
بوی,1022
هر,1014
یا,1007
بدون,999
کلا,999
میداد,997
فود,995
گرم,982
وقتی,968
دیر,953
خام,932
انگار,926
غذای,924
سوخاری,911
خرید,906
کل,899
خوردن,893
توی,881
مواد,869
طول,858
دستم,857
آب,854
معمولی,841
شدت,841
متاسفم,839
کردم,832
قارچ,830
سفت,820
جعبه,813
خوبی,811
باشه,803
لطفا,797
هست,796
زمان,785
حتی,773
نظر,771
چیزی,765
یخ,752
چرا,749
چون,749
دفعه,747
نیم,733
دست,727
شما,724
کهنه,720
روغن,720
است,714
پول,713
نپخته,709
۲,706
دور,704
برگر,692
چیز,692
خوشمزه,686
روز,675
چرب,670
نوشابه,660
یکی,660
میشه,659
کنید,655
شور,653
اون,652
تماس,648
قبلا,648
انتظار,642
عدد,640
سیر,640
اشتباه,639
چند,636
عالی,634
توجه,633
بالا,633
پر,631
داره,627
زده,622
کشید,621
فوق,619
بدی,614
العاده,598
اگر,597
ظرف,596
نداشت.,593
فرستادن,592
باز,587
پیتزای,584
بود!,583
کردن,581
بیات,578
درست,576
فرستاده,559
بودند,559
توضیحات,558
پیش,557
فکر,554
بهتر,548
نبودم,542
گذاشته,538
پیگیری,537
غیر,525
بر,522
هزینه,521
تمام,520
سه,515
نصف,514
گوجه,508
همراه,505
بستنی,500
له,499
بدترین,499
چی,499
بوده,498
انقدر,496
گرفتم,494
عکس,493
تومن,493
شدم,489
تیکه,481
تقریبا,479
برام,478
ته,476
۱,475
شد.,473
آن,470
حد,470
اندازه,464
کوچک,464
کمی,464
….,463
همین,460
مناسب,459
مانده,458
نوشته,456
چه,455
بو,455
بشه,453
افت,453
ک,452
وجود,452
داشت.,449
خورده,445
کمتر,445
فیله,444
تکه,437
مقدار,436
اینجا,432
هات,431
کنم,431
گرفته,430
روش,426
اگه,424
سرخ,424
داشتم,419
رسید.,418
الان,417
کیفیتش,416
نبود،,412
منو,411
اول,411
یعنی,410
خود,408
بیش,408
قیمتش,407
خامه,405
کاهو,404
نداره,404
کامل,403
هزار,401
قاشق,400
ارسالی,396
۳,395
مورد,391
تومان,384
نمیدونم,384
زنگ,379
غذایی,377
خورد,376
پخته,375
فاصله,374
تاریخ,373
مجبور,372
اولین,371
میکنم,370
شیر,367
خوردم,363
شبیه,362
دوباره,362
کار,361
کوبیده,360
چنگال,358
کوچیک,357
بنده,355
سری,354
نامناسب,351
قرار,349
موقع,349
همبرگر,348
ممنون,347
بجای,347
برخورد,346
آوردن,343
حداقل,341
کرد,338
البته,336
ثبت,334
بهم,333
اومده,333
پلو,332
بدمزه,332
رفته,330
داگ,330
سبزی,329
حالا,329
میشد,328
نداشتم,323
دوتا,322
ناراضی,322
باعث,321
سفارشم,321
داخلش,321
ماست,321
توش,320
دادن,319
کالباس,319
پیشنهاد,319
اضافه,317
اب,315
داشته,313
باروژ,310
کیلو,310
زیادی,310
مشکل,308
حیف,308
ساده,306
جالب,306
پیاز,305
کلی,303
واسه,301
پشتیبانی,300
دونه,298
هستم,298
تخم,294
اینقدر,293
خراب,293
شیرینی‌ها,293
وقت,292
تند,291
امیدوارم,289
داغ,288
سزار,288
نمیکنم,286
مشخص,285
انتخاب,284
۴,283
نمیشه,283
خالی,282
فاکتور,280
میدم,280
پس,280
ژامبون,280
سوپر,279
سوپ,278
بقیه,278
استیک,277
اعلام,277
موجود,277
پرپروک,276
همش,275
دلیل,273
نوع,272
دادیم,271
مرغش,270
ضمن,270
باگت,270
نظرم,269
ارزش,269
آخرین,269
دوست,269
فلفل,269
امروز,268
نیست.,266
نمیدم,266
دقت,265
نمک,264
شیرین,262
بزرگ,261
کیسه,260
جدا,260
۵,260
سوسیس,259
همون,258
اینبار,257
نمیشد,257
حدود,257
حمل,257
حجمش,256
نشد,255
عنوان,255
اونم,255
قیمه,254
غذاها,253
فرق,253
برسه,252
خورشت,251
پاستا,251
بگم,250
است.,250
مخلفات,249
اوردن,248
چیپس,248
نزدیک,247
پرداخت,246
شکلاتی,246
شدن,245
جا,244
مغایرت,243
ترش,242
دوم,240
بابت,239
چین,238
زمینی‌ها,238
آماده,238
شاید,237
کنار,237
بودن.,236
رنگ,233
عوض,232
سینه,231
گذشته,231
تاکید,231
حال,230
بودم.,227
بودند.,227
حساب,227
همچنین,227
بیرون,227
تشکر,226
مصرف,226
همچین,225
تخفیف,225
سیاه,224
فست,224
ب,224
ضعیف,223
قبلی,223
تلخ,223
ران,223
شکلات,222
اومد,222
دریافت,222
زیر,221
تغییر,221
دار,221
صورتی,221
تنها,220
دیگر,220
شکسته,220
یکم,220
مخصوص,220
زرشک,220
نداشت،,219
قبول,219
چیکن,217
کسی,216
۱۰,216
دارم,216
کاش,215
متفاوت,215
شود,214
صورت,214
پخت,213
محصول,212
رفت,212
پیدا,210
سر,210
گفت,209
خاصی,208
درخواست,208
ماهی,207
سریع,207
حتما,207
کننده,206
میداد.,206
گفتن,206
کلم,205
نازک,205
شکل,205
مبلغ,204
شده.,203
طوری,203
بودیم,202
معلوم,202
داد,201
بعید,201
گرفتن,201
خامه‌ای,200
جنس,199
چسبیده,199
دقیقا,197
ریختم,197
خاطر,197
دفعات,196
حدی,194
نونش,194
نا,193
خوبه,193
سرویس,191
بیشتری,191
اسم,190
پپرونی,190
متوسط,190
گفتم,189
برند,188
مزه‌ی,187
رسیدگی,185
پلاستیک,185
انجام,184
نتونستم,183
عمرم,182
سلام.,182
ماسیده,182
پیتزایی,181
بده,181
مدل,181
سبزیجات,179
افتاده,178
گوشتش,178
تعداد,178
توقع,178
رسید،,178
خیلى,176
خوراک,176
چربی,176
پودر,175
خودم,175
نرم,175
نهایت,175
جز,174
بدم,174
برخلاف,173
پایینی,173
گفته,173
بهتره,173
خوش,173
سایز,172
زود,172
محتویات,172
طعمش,171
۲۰,170
بخاطر,170
توصیه,169
اطلاع,169
-,169
سفید,169
ی,168
قرمز,168
تهیه,167
خلاف,167
باشد,166
حس,165
ادویه,165
پیتزاش,165
داشت،,165
آورده,164
باشه.,164
خیس,163
بین,163
رب,163
عدم,162
قسمت,162
مخلوط,161
حالت,161
گذاشتن,161
دستمون,161
هاش,161
مارکت,160
وجه,160
پک,160
هنوز,159
بودم،,159
جاش,159
درد,159
فروشی,158
ش,158
نباید,158
همیشگی,158
شعبه,158
میده,158
دادم.,157
دادم،,157
گرمی,155
بدتر,155
مخصوصا,153
کنجد,153
کنه,152
اجناس,152
خواسته,152
دیدم,151
آش,150
بود..,150
تاسف,150
طرف,149
پیتزاها,149
تجربه,149
دورچین,148
دم,148
مرغ‌ها,148
ازش,148
ذکر,148
درب,147
ویژه,147
اولیه,146
بهش,146
تکه‌های,146
مدیریت,146
ظاهر,145
شیلا,145
بخورم,145
پای,144
هایی,144
جوری,143
۳۰,143
نخواهم,143
بشدت,143
هیچی,143
نخورده,142
کردند,142
خب,142
اینجوری,141
غذارو,141
نفر,141
آدم,141
برنجش,141
سنگک,141
سفارشی,140
جایگزین,140
رولت,139
چندین,139
قطعا,138
مالیات,138
شدیم,138
لیمو,138
پرس,137
برشته,137
بدستم,137
اولا,137
بال,136
میکردم,136
دیگه‌ای,136
خودتون,136
میاد,136
امتیاز,136
دیگری,136
شده،,135
کره,135
دوغ,134
میدادم,134
حضوری,134
دستمال,134
مناسبی,134
رفتار,134
پشیمون,134
دلستر,134
شد،,133
رسیدن,133
آدرس,133
سلام،,133
خریدم,132
خیارشور,132
نوتلا,132
موارد,132
بادمجان,132
نایلون,132
تست,132
زدن,132
ایرانی,131
لوبیا,131
بالای,130
میخواستم,130
هفته,130
نوشیدنی,130
خودش,130
کنید.,130
متوجه,130
خسته,129
حذف,129
وسط,129
نبودم.,129
منتظر,129
آخر,128
سابق,128
شب,128
نبود!,128
چنین,128
بودن،,128
استریپس,127
برگ,127
دل,126
ده,126
هویج,126
لقمه,126
مال,126
کنن,126
غذاش,125
فرنگی,125
ربع,125
وزن,125
خیار,124
نکرده,124
مثلا,124
خرد,124
درصد,124
برعکس,124
زیتون,123
سفارشات,123
میوه,123
لیست,123
جو,122
فروشگاه,122
پنیرش,122
تموم,122
قرمه,122
ماه,122
شکر,122
مزه‌ای,121
خودشون,121
حالی,121
مجدد,120
کردیم,120
۴۰,120
فراموش,120
یخچال,120
پاره,120
میکنه,119
بازم,119
امکان,119
سیگار,119
نان‌ها,119
علاوه,119
علت,119
بیف,118
نسبتا,118
احساس,118
پاکت,118
کنین,118
لایه,118
توت,117
مردم,117
تفاوت,117
بربری,116
ضمنا,116
موندگی,116
ریز,116
توجهی,116
رست,116
پولی,116
دانمارکی,116
منزل,115
کیفیتی,115
نیستم,115
قدری,115
کف,114
اسمش,114
اورده,114
مگه,114
براتون,114
احتمالا,114
مسیر,114
زمانی,114
پوست,114
قاطی,114
نمیداد,114
نفره,114
می‌داد,113
محصولات,113
فاجعه,113
مهمون,112
محل,112
ایندفعه,112
شل,112
باری,112
ساندویج,112
معمولا,112
باره,111
انقد,111
بدید,111
ترکی,110
میزان,110
خدا,109
نداشته,109
زدم,109
پلاسیده,109
دیگ,109
زور,109
موز,109
ندارید,109
پنج,108
جلوی,108
تعجب,108
گردو,108
داشتن,108
هماهنگی,108
دومین,108
…..,107
دوبار,107
مغز,107
شیرینی‌تر,107
کرد.,107
بود!!!,107
قلم,107
خبری,107
نداشتن,106
چهار,106
ناپلئونی,106
سرو,106
لحاظ,106
نظرات,106
طور,105
نبودن,105
اش,105
سال,105
۵۰,105
همینطور,105
طبق,105
میکنید,105
مهمان,104
هرچی,104
برش,104
خواستم,104
یکساعت,104
مدت,104
قوطی,104
ازین,104
بادام,103
مقایسه,103
بشه.,103
بودین,103
اشتباهی,103
انداختم,103
کافی,103
سیخ,102
طولانی,102
اعتماد,102
شود.,102
املت,102
بندری,102
اخرین,102
۱۵,102
نداشتم.,102
کاری,102
علیرغم,102
افزایش,102
قنادی,101
کردید,101
میتونم,101
غذاهای,101
عرض,101
ای,101
نذاشته,101
رضایت,100
میدن,100
درسته,99
سالم,99
سوپرمارکت,99
گرون,99
ام,99
سوم,99
ثابت,99
تارت,98
طعمی,98
زرد,98
اتفاق,98
هستش,98
خلاصه,98
صبحانه,97
بستنی‌ها,97
کوچه,97
میکنن,97
تولید,97
بودید,97
بعضی,97
بدن,96
۶,96
داغون,96
اسپایسی,96
گریل,96
۴۵,95
بیست,95
ساندویچ‌ها,95
فک,95
می‌کنم,95
پایین‌تر,95
یکبار,94
نباشید,94
طمع,94
میگه,94
ازتون,94
عجیب,94
هست.,93
ناقص,93
فرستادین,93
توسط,93
ازشون,92
دیده,92
باقلوا,92
امتحان,92
نشد.,92
عملا,92
کشک,92
میرسه,92
جلو,91
دیزی,91
بیاد,91
اکسپرس,91
نصفش,91
لازم,91
استخوان,91
نیمه,91
درج,91
دیروز,90
اینه,90
بهداشتی,90
ترد,90
کنند,90
خانواده,90
جایی,90
راه,90
واقعی,90
میدیم,89
کاغذ,89
فرستادن.,89
بود!!,89
کنیم,89
ندارم,89
سایر,89
ولى,89
بالاتر,89
اصلی,89
ارائه,89
باشید,89
قهوه,88
پلاستیکی,88
اماده,88
فرستادند,88
دوستان,88
انار,88
تیکه‌های,88
واقع,88
موضوع,88
کیفیت‌ترین,87
حلیم,87
٢,87
مهم,87
پاک,87
رسیده,87
نداره.,87
احترام,86
خونه,86
پسته,86
نیست،,86
کیفیت،,86
برا,86
زحمت,85
نکنید,85
ریختن,85
درجه,85
کبابی,85
غذا‌ها,85
سایت,85
بدین,84
دارد,84
قید,84
نمیکنم.,84
تومنی,84
دارن,84
اصلن,84
گرفتیم,84
قدیمی,84
مجموع,83
آورد,83
ذره,83
چندمین,83
شدم.,83
میگیرم,83
کیفیت.,83
باشه،,82
ندیده,82
قشنگ,82
میداد،,82
سرد،,82
ان,82
آبکی,82
کاهش,82
مایع,82
جهت,82
غذاتون,82
جمع,82
ظاهرا,82
روغنی,81
سوختگی,81
ادم,81
شیک,81
فرستادید,81
تصویر,81
زودتر,81
ذرت,81
پایین.,81
میکس,81
علی,81
میره,80
نصفه,80
پز,80
نیز,80
اینو,80
موادش,80
بگیرم,80
کیفت,80
غدا,79
محترم,79
گفتند,79
خوردم.,79
بنظرم,79
میشه.,79
رعایت,79
هندی,78
کالا,78
داریم,78
خجالت,78
چلو,78
زمین,78
جواب,78
خواهش,78
مقداری,78
بد.,78
لاستیک,77
طرز,77
آیس,77
موجودی,77
نفرستادن,77
بهتری,77
رستورانی,77
هایدا,77
هنگام,77
کیلویی,76
بیارن,76
زیاده,76
غذا،,76
ریختیم,76
۸,76
سسش,76
دارید,76
ندارن,75
نمی‌دونم,75
انداخته,75
گرفت,75
ندارد,75
ادب,75
متأسفانه,75
شباهتی,75
رستوران‌های,74
/,74
ممکن,74
پنیری,74
سازی,74
قورمه,74
غیرقابل,74
آبروم,73
عکسش,73
هستم.,73
نیومد,73
اصن,73
سطح,73
طبخ,73
وگرنه,73
کردم.,73
کمه,73
بصورت,73
کردین,72
امشب,72
نداریم,72
سرعت,72
رستوران‌ها,72
معدنی,72
بادمجون,72
مجموعه,72
نکته,72
میکرد,72
تنوری,72
پرتقال,72
سحر,72
(,71
تعریف,71
رغم,71
میزد,71
بگیرید,71
داری,71
پیتزاهای,71
سی,71
ناتلی,71
نکردن,71
چک,71
بره,71
۱۲,70
شفته,70
میگن,70
شیرینی‌های,70
اقلام,70
میل,70
چهل,70
بعدش,70
کنم.,70
عین,70
آرد,70
بهترین,70
دقیقه‌ای,69
گرمش,69
نفرستاده,69
ساندویچی,69
بنظر,69
چطور,69
آخه,69
شه,68
نیاز,68
بالایی,68
جاهای,68
ممنونم,68
شرکت,68
پایین،,68
چیزبرگر,68
ترشی,68
هاتون,68
شدیدا,68
آلفردو,68
",",67
چرخ,67
زشت,67
سفارش‌های,67
خارج,67
دادند,67
کرده.,66
بارها,66
بیشترش,66
خیلییی,66
کی,66
پیتزا‌ها,66
برد,66
مسافت,66
خمیری,66
براى,65
نمی‌کنم,65
نگهبانی,65
خوشم,65
نام,65
کنارش,65
داره.,65
نی,65
دور.,65
ادرس,65
۱۰۰,65
قیمت‌ها,65
کبابش,65
پیراشکی,65
جوجه‌ها,65
رد,65
نحوه,64
توهین,64
بخش,64
متاسفم.,64
نبوده,64
سبز,64
تکرار,64
اینا,64
کمیت,64
اورد,64
جالبی,64
حالم,64
مایونز,64
لیتری,64
اکبر,64
هیچوقت,64
الویه,64
کاغذی,64
کوچکتر,63
کج,63
مغازه,63
نباشه,63
داشتیم,63
بعدی,63
بى,63
باسلام,63
کثیف,63
فرانسوی,63
نوشتم,63
تعویض,63
بالاست,63
مرغی,63
ناراحت,63
گاز,63
سرد.,62
ساعته,62
یدونه,62
نداشت!,62
بلکه,62
دسر,62
خیلیییی,62
بخورم.,62
چندتا,62
مشتریان,62
پخش,62
صفر,62
نداده,62
آمده,62
ماکارونی,62
آوردند,62
شد!,62
نکنم,62
کیکی,62
یکیش,61
باکس,61
انقضا,61
شدید,61
میگم,61
گران,61
تون,61
اخه,61
بیکن,60
آسانسور,60
اهمیت,60
تخمه,60
خمیرش,60
