words,labele
و,27623
بود,23647
خیلی,10854
عالی,10546
به,10153
از,9823
خوب,9763
هم,8823
که,7958
بود.,6433
غذا,6211
کیفیت,6018
با,5964
ولی,5485
خوشمزه,4789
در,4236
ممنون,4233
بسیار,3838
فقط,3752
سفارش,3522
این,3478
شده,3467
رو,3458
همیشه,3389
رسید,3167
من,3112
تازه,3037
واقعا,2786
پیتزا,2785
طعم,2732
مثل,2695
همه,2651
پیک,2550
ارسال,2406
گرم,2347
سریع,2294
اما,2140
بود،,2133
کم,2102
یه,1889
بسته,1846
موقع,1842
نبود,1794
برای,1737
اسنپ,1651
سیب,1627
یک,1605
سس,1585
سرد,1582
بندی,1505
تا,1472
نان,1440
مرغ,1420
ممنونم,1417
بودم,1412
اینکه,1401
راضی,1395
تحویل,1366
خوش,1333
داغ,1322
قیمت,1319
حجم,1301
داشت,1278
دستم,1265
بودن,1232
مزه,1228
تشکر,1222
کل,1210
نسبت,1192
زیاد,1181
فود,1178
…,1166
بهتر,1136
چیز,1136
تو,1114
رستوران,1113
زمان,1105
بیشتر,1094
کمی,1093
زمینی,1069
کاملا,1068
ساندویچ,1067
رسید.,1024
فوق,1018
سلام,1000
زود,970
اصلا,967
نون,953
خوبی,951
چی,931
شیرینی,910
مرسی,894
باشه,893
شما,888
یکم,883
نظر,879
العاده,873
کیک,868
سالاد,862
شد,856
را,837
بار,814
داده,806
متاسفانه,801
مناسب,799
مشتری,780
میشه,779
کباب,778
برخورد,777
دو,759
هر,751
بی,738
نداشت,733
جوجه,728
کرده,726
اگر,715
ما,704
هست,687
لطفا,686
دادم,684
مقدار,681
دیر,676
پنیر,675
توجه,671
غذای,654
بد,639
دیگه,639
استفاده,637
کنید,633
قبل,610
چون,608
یا,602
کاش,593
برنج,584
خوبه,580
مواد,578
امیدوارم,572
بشه,565
کمتر,562
روی,551
اگه,549
باید,548
عالی.,546
گوشت,545
بهترین,535
دقیقه,532
سوخاری,527
است,527
توی,526
میکنم,526
جای,524
سیر,519
نبود.,507
خرید,496
البته,495
داخل,495
هزینه,492
نه,492
سرعت,491
عالیه,488
نیست,487
یکی,485
بعد,484
برگر,478
نشده,475
دوست,474
داره,474
سپاس,471
معمولی,467
بالا,458
خشک,449
اندازه,447
خسته,444
ساعت,443
بابت,438
عالی،,438
کردم,434
بدون,431
دفعه,430
دست,430
قارچ,426
قابل,422
نظرم,419
مدیریت,414
وقتی,411
ریخته,411
پر,408
کیفیتش,407
توضیحات,405
قیمتش,405
مخصوصا,402
همین,402
روز,399
درد,392
همراه,390
بودند,385
پیشنهاد,381
حتما,380
طول,378
تاخیر,370
داشت.,368
کلا,368
جعبه,360
آب,357
اولین,357
اضافه,356
ظرف,351
زودتر,350
خمیر,348
چرب,348
گذاشته,347
بقیه,346
نوشابه,345
کامل,344
اون,343
تاریخ,336
رسید،,332
داشتم,331
شد.,328
حجمش,322
چرا,320
باز,319
مونده,316
پیتزای,316
فکر,315
لذیذ,315
سالم,313
مورد,312
درست,311
نباشید,311
هات,309
هیچ,308
ک,307
سرویس,306
دستمون,301
دقت,297
میشد,297
رفتار,296
چند,294
میدم,294
وقت,294
ممنون.,288
حتی,287
بهتره,286
فیله,285
کردن,285
تند,284
نکنه,282
….,282
باشید,281
سفارشم,280
انتخاب,278
طعمش,278
انتظار,276
سوپر,276
قبلا,276
تنها,276
متشکرم,275
منو,275
پایین,274
شور,274
ته,273
اومد,272
چیزی,272
امتحان,272
غذاها,271
موفق,269
پخته,268
سوپ,268
کشید,267
لذت,267
دستتون,266
محترم,262
تماس,262
مخصوص,261
جالب,258
سوخته,258
خدا,257
زیادی,257
داشته,256
فرستاده,255
کوچیک,254
کنم,253
سبزی,253
بودم.,253
شدم,253
سه,251
نوشته,251
گوجه,250
دارم,250
هستم,248
بود!,248
وجود,247
بستنی,246
بدستم,245
رسیدن,244
نیم,244
سرخ,244
حرف,244
است.,244
خود,243
شیرینی‌ها,243
مودب,241
روغن,241
چنگال,240
تقریبا,239
عکس,239
بوی,235
اینجا,234
بازم,234
دمتون,233
برام,233
زده,232
دورچین,232
حد,231
تمام,230
سر,229
کار,228
خورده,227
بر,227
چیکن,227
پیش,225
بودن.,222
آن,222
ب,221
پخت,221
شود,220
اشتباه,218
میداد,218
نداره,217
داگ,216
اول,216
سفت,214
مخلفات,214
پلو,211
ترد,211
نداشت.,211
کوچک,211
کرد,210
آوردن,208
دار,208
محصولات,207
انگار,207
کوبیده,207
پیاز,207
ازتون,206
استیک,206
فست,205
سری,205
۲,204
بگم,203
قاشق,203
بوده,203
تخفیف,202
نرم,201
کنار,201
حال,198
پیگیری,197
مشکل,197
فاصله,197
فرستادن,196
نمک,196
قبول,196
نظیر,194
سلام.,194
تمیز,193
حمل,192
گرفتم,192
بیشتری,191
جدا,191
حفظ,190
پرپروک,189
عدد,189
نوع,189
دقیق,189
اجناس,188
طبق,188
بزرگ,187
نسبتا,186
باروژ,184
ای,184
جا,184
نفر,183
ممنونم.,183
خوردن,182
چه,182
قرار,181
ماست,179
آماده,179
نمیدونم,178
باشه.,177
برشته,177
شکلاتی,176
دور,176
مرتب,175
دقیقا,175
تنوع,175
بودند.,175
عالى,174
شیر,174
کنید.,173
شاید,173
خامه,173
شیرین,172
تومن,172
انقدر,172
مارکت,172
پپرونی,171
بجای,171
لحاظ,170
شیلا,170
خیلى,170
اکسپرس,169
ویژه,169
سبزیجات,169
باعث,169
فلفل,168
۵,168
همون,168
گرفته,168
چین,168
باکیفیت,167
کافی,167
حالا,166
صورت,166
خاطر,165
خوشمزه.,165
منطقه,164
پاستا,163
مجموع,163
شدن,162
سپاسگزارم,162
بهم,162
باگت,161
موجود,161
روش,161
ثبت,161
نبود،,161
همینطور,161
متوسط,160
اعلام,159
خام,159
نونش,157
دوباره,157
ضمن,156
یعنی,156
نکته,155
هاش,155
الان,155
واسه,155
دهی,155
داد,154
بده,154
درخواست,154
زیاده,154
بخاطر,153
خوردم,153
پول,153
بودیم,153
محترمانه,153
بنده,152
کننده,152
خوشمزه،,151
دوتا,150
حداقل,150
موارد,149
تکه,149
سزار,147
هست.,147
غیر,147
دادن,147
امروز,147
پنیرش,146
داخلش,144
حدود,144
بیش,143
۳,143
خوب،,143
ساده,143
ی,142
تومان,142
مرغش,142
همبرگر,142
تعداد,141
ارزش,141
خوراک,141
همچنین,141
برسه,138
کلی,138
ترش,138
نمیشه,138
خوبتون,138
نیست.,137
-,137
راضیم,136
بود..,136
مصرف,136
کلم,135
نزدیک,135
تست,135
ماهی,135
حس,135
پرسنل,135
بموقع,134
مقداری,134
اوردن,134
درجه,133
غذاهای,133
زرشک,133
میکنه,133
تیکه,133
طولانی,132
باشد,132
نصف,132
یخ,131
سوپرمارکت,130
فراموش,130
کیسه,130
تجربه,130
میشه.,129
خوب.,129
له,129
رفته,129
مالیات,128
بنظرم,128
برکت,128
فاکتور,128
غذاش,127
پیتزاها,127
پیدا,127
مدل,127
مجبور,126
ش,126
مجموعه,126
برش,126
انجام,126
ژامبون,125
۲۰,125
خواسته,125
هایی,125
درکل,124
بعضی,124
رضایت,123
نداشتم,123
زنگ,123
کنن,123
پیتزاش,122
جز,122
خورشت,122
اینبار,122
ارسالی,122
ام,121
کاهو,121
خدمات,121
آورد,121
قسمت,121
کیلو,121
مشخص,120
غذایی,120
بودم،,120
بمونه,120
ادویه,119
پک,119
خوشمزه‌ای,119
اینه,119
اینقدر,119
پای,118
سلام،,118
رعایت,117
زیر,116
خاصی,116
سفارشات,116
تغییر,116
بیرون,116
استریپس,116
۱,116
بالاست,115
میوه,115
بو,115
سایز,115
فراوان,114
اونم,114
توش,114
تون,113
متفاوت,113
مدت,113
دم,113
میتونست,112
احترام,112
سنگک,112
حساب,112
خودم,112
تخم,112
میزان,112
ازشون,111
شدت,111
شکلات,110
شیک,110
قبلی,110
دریافت,110
اولیه,109
کهنه,108
میرسه,108
لیمو,108
می‌کنم,108
هستش,108
عزیز,108
گرفتن,107
پرداخت,107
چیپس,107
زمینی‌ها,107
۴,107
۱۰,107
مشکلی,106
همیشگی,106
خراب,106
عاااالی,105
کمه,105
بال,105
شبیه,105
همیشه.,105
کمیت,105
عوض,105
باتشکر,104
غذاتون,104
بیات,104
عالیه.,104
خب,104
بودید,103
بشه.,103
کنین,103
ازش,102
قیمه,102
کنه,102
دفعات,102
خامه‌ای,101
نان‌ها,101
کیفیت،,101
هزار,101
دونه,101
گفتم,101
گفت,101
افت,101
طمع,100
میتونم,100
آدم,100
عنوان,99
گوشتش,99
باقی,99
تازگی,99
اش,99
شده.,98
شود.,97
درب,97
نپخته,97
