Happy_comment_word,%good_word,Sad_comment_word,%bad_word,All_number_use_for_word
و,0.46570792730215466,و,0.5342920726978454,59314.0
بود,0.4700445257215552,بود,0.5299554742784448,50308.0
به,0.4432269611909023,به,0.5567730388090977,22907.0
از,0.44433889718188807,از,0.5556611028181119,22107.0
که,0.36205641492265694,که,0.6379435850773431,21980.0
خیلی,0.5581036610448376,خیلی,0.4418963389551625,19448.0
هم,0.49514563106796117,هم,0.5048543689320388,17819.0
غذا,0.40810828569551216,غذا,0.5918917143044878,15219.0
کیفیت,0.4351409978308026,کیفیت,0.5648590021691974,13830.0
با,0.43126762600332635,با,0.5687323739966736,13829.0
خوب,0.718501619075655,خوب,0.28149838092434504,13588.0
بود.,0.5113672496025438,بود.,0.4886327503974563,12580.0
سفارش,0.3124556422995032,سفارش,0.6875443577004968,11272.0
عالی,0.9432915921288014,عالی,0.05670840787119857,11180.0
شده,0.32092937147088774,شده,0.6790706285291123,10803.0
این,0.3402465270984152,این,0.6597534729015848,10222.0
ولی,0.536692759295499,ولی,0.46330724070450097,10220.0
در,0.41725768321513,در,0.58274231678487,10152.0
رو,0.37808878198119394,رو,0.621911218018806,9146.0
من,0.3568807339449541,من,0.6431192660550459,8720.0
بسیار,0.4546854638076057,بسیار,0.5453145361923942,8441.0
پیتزا,0.36457651525068724,پیتزا,0.6354234847493128,7639.0
واقعا,0.4076675446297922,واقعا,0.5923324553702077,6834.0
اصلا,0.1470275201459632,اصلا,0.8529724798540368,6577.0
سرد,0.24215521200061227,سرد,0.7578447879993877,6533.0
نبود,0.29332897318508827,نبود,0.7066710268149117,6116.0
فقط,0.6224286662242866,فقط,0.37757133377571334,6028.0
ارسال,0.43382618103137394,ارسال,0.5661738189686261,5546.0
خوشمزه,0.874703196347032,خوشمزه,0.12529680365296803,5475.0
یک,0.3163184864012613,یک,0.6836815135987386,5074.0
رسید,0.6241623965313362,رسید,0.3758376034686638,5074.0
طعم,0.5441147181836288,طعم,0.4558852818163712,5021.0
کم,0.44206098843322816,کم,0.5579390115667718,4755.0
مرغ,0.29938857263335444,مرغ,0.7006114273666456,4743.0
بد,0.13650929288613545,بد,0.8634907071138646,4681.0
همیشه,0.7278780068728522,همیشه,0.27212199312714774,4656.0
تازه,0.6589281839878499,تازه,0.34107181601215014,4609.0
یه,0.41154684095860566,یه,0.5884531590413943,4590.0
ممنون,0.924235807860262,ممنون,0.07576419213973799,4580.0
پیک,0.5579868708971554,پیک,0.4420131291028446,4570.0
برای,0.38789638231353285,برای,0.6121036176864671,4478.0
تا,0.3332578673307675,تا,0.6667421326692325,4417.0
کاملا,0.251530852567122,کاملا,0.748469147432878,4246.0
بود،,0.5053304904051172,بود،,0.4946695095948827,4221.0
اما,0.5071090047393365,اما,0.4928909952606635,4220.0
سیب,0.3930901183860836,سیب,0.6069098816139165,4139.0
تحویل,0.3428714859437751,تحویل,0.6571285140562249,3984.0
همه,0.6932531380753139,همه,0.3067468619246862,3824.0
مثل,0.7236842105263158,مثل,0.27631578947368424,3724.0
مزه,0.3309973045822102,مزه,0.6690026954177898,3710.0
بسته,0.49864937871420856,بسته,0.5013506212857914,3702.0
بی,0.200652528548124,بی,0.799347471451876,3678.0
سس,0.4341276362640373,سس,0.5658723637359627,3651.0
نان,0.39933444259567386,نان,0.6006655574043261,3606.0
بودم,0.3986448334274421,بودم,0.6013551665725578,3542.0
قیمت,0.3847724620770128,قیمت,0.6152275379229871,3428.0
گرم,0.7050165214779213,گرم,0.2949834785220787,3329.0
اینکه,0.4214801444043321,اینکه,0.5785198555956679,3324.0
داشت,0.4092219020172911,داشت,0.590778097982709,3123.0
متاسفانه,0.2573080629617732,متاسفانه,0.7426919370382268,3113.0
رستوران,0.3600776447751537,رستوران,0.6399223552248463,3091.0
بودن,0.40025990903183883,بودن,0.5997400909681612,3078.0
حجم,0.4289482360698978,حجم,0.5710517639301023,3033.0
نسبت,0.3985289200936142,نسبت,0.6014710799063858,2991.0
اسنپ,0.5630968622100955,اسنپ,0.4369031377899045,2932.0
تو,0.38189921151868356,تو,0.6181007884813164,2917.0
زمینی,0.38029171113482746,زمینی,0.6197082888651725,2811.0
ساندویچ,0.3797153024911032,ساندویچ,0.6202846975088968,2810.0
داده,0.2933042212518195,داده,0.7066957787481805,2748.0
بندی,0.5476710334788938,بندی,0.45232896652110627,2748.0
نون,0.35283228433913366,نون,0.6471677156608664,2701.0
دیگه,0.236754353464246,دیگه,0.763245646535754,2699.0
نداشت,0.2716827279466271,نداشت,0.7283172720533728,2698.0
…,0.4349123461395002,…,0.5650876538604999,2681.0
راضی,0.5314285714285715,راضی,0.4685714285714286,2625.0
ساعت,0.16901945822205267,ساعت,0.8309805417779473,2621.0
دادم,0.2620689655172414,دادم,0.7379310344827587,2610.0
کیک,0.337611824192921,کیک,0.662388175807079,2571.0
سریع,0.9172331067572971,سریع,0.08276689324270292,2501.0
بار,0.32599118942731276,بار,0.6740088105726872,2497.0
شیرینی,0.36472945891783565,شیرینی,0.6352705410821643,2495.0
پایین,0.11312964492155243,پایین,0.8868703550784476,2422.0
شد,0.3538652335675899,شد,0.6461347664324101,2419.0
دو,0.3231162196679438,دو,0.6768837803320562,2349.0
پنیر,0.28932704672096016,پنیر,0.7106729532790399,2333.0
کرده,0.31374243733794294,کرده,0.6862575626620571,2314.0
سالاد,0.3739696312364425,سالاد,0.6260303687635574,2305.0
بعد,0.21025195482189402,بعد,0.789748045178106,2302.0
زیاد,0.5170753064798599,زیاد,0.4829246935201401,2284.0
را,0.3671052631578947,را,0.6328947368421053,2280.0
گوشت,0.24505395683453238,گوشت,0.7549460431654677,2224.0
بیشتر,0.4932371505861136,بیشتر,0.5067628494138864,2218.0
موقع,0.8407120036513007,موقع,0.15928799634869922,2191.0
فود,0.5421076852277956,فود,0.4578923147722043,2173.0
مونده,0.14835680751173708,مونده,0.8516431924882629,2130.0
دستم,0.5961357210179077,دستم,0.4038642789820924,2122.0
کباب,0.3676748582230624,کباب,0.6323251417769377,2116.0
کل,0.5737316263632053,کل,0.4262683736367947,2109.0
سلام,0.4793863854266539,سلام,0.5206136145733461,2086.0
قبل,0.3207150368033649,قبل,0.6792849631966351,1902.0
خشک,0.23656480505795574,خشک,0.7634351949420443,1898.0
زمان,0.5846560846560847,زمان,0.41534391534391535,1890.0
مشتری,0.4264625478403499,مشتری,0.5735374521596501,1829.0
چیز,0.6214442013129103,چیز,0.3785557986870897,1828.0
ما,0.3855421686746988,ما,0.6144578313253012,1826.0
جوجه,0.40784313725490196,جوجه,0.592156862745098,1785.0
نه,0.27671541057367827,نه,0.7232845894263217,1778.0
هر,0.42549575070821527,هر,0.5745042492917847,1765.0
خوبی,0.539727582292849,خوبی,0.46027241770715094,1762.0
برنج,0.33371428571428574,برنج,0.6662857142857143,1750.0
نبود.,0.29205069124423966,نبود.,0.7079493087557603,1736.0
قابل,0.24707259953161592,قابل,0.752927400468384,1708.0
باشه,0.5265330188679245,باشه,0.47346698113207547,1696.0
بهتر,0.6745843230403801,بهتر,0.3254156769596199,1684.0
جای,0.3113487819370172,جای,0.6886512180629828,1683.0
استفاده,0.38143712574850297,استفاده,0.618562874251497,1670.0
روی,0.3307322929171669,روی,0.6692677070828331,1666.0
تاخیر,0.22424242424242424,تاخیر,0.7757575757575758,1650.0
نظر,0.5327272727272727,نظر,0.4672727272727273,1650.0
فوق,0.6218692730604765,فوق,0.37813072693952354,1637.0
دیر,0.41497851442602823,دیر,0.5850214855739717,1629.0
شما,0.5508684863523573,شما,0.4491315136476427,1612.0
داغ,0.8211180124223603,داغ,0.17888198757763976,1610.0
یا,0.37414543194530764,یا,0.6258545680546923,1609.0
ریخته,0.2562344139650873,ریخته,0.7437655860349127,1604.0
دقیقه,0.33312460864120225,دقیقه,0.6668753913587977,1597.0
باید,0.34595959595959597,باید,0.6540404040404041,1584.0
غذای,0.4144486692015209,غذای,0.5855513307984791,1578.0
کمی,0.7019910083493899,کمی,0.2980089916506101,1557.0
نشده,0.30625402965828497,نشده,0.693745970341715,1551.0
هیچ,0.2003903708523097,هیچ,0.7996096291476903,1537.0
نیست,0.3183006535947712,نیست,0.6816993464052288,1530.0
داخل,0.3256578947368421,داخل,0.6743421052631579,1520.0
خوش,0.8851261620185923,خوش,0.1148738379814077,1506.0
ممنونم,0.9542087542087542,ممنونم,0.04579124579124579,1485.0
لطفا,0.46257585974376264,لطفا,0.5374241402562373,1483.0
هست,0.46325016857720835,هست,0.5367498314227916,1483.0
خمیر,0.2354533152909337,خمیر,0.7645466847090663,1478.0
العاده,0.5934738273283481,العاده,0.4065261726716519,1471.0
تشکر,0.8439226519337016,تشکر,0.15607734806629833,1448.0
مواد,0.39944713199723564,مواد,0.6005528680027643,1447.0
رسید.,0.710124826629681,رسید.,0.289875173370319,1442.0
سوخاری,0.3664812239221141,سوخاری,0.633518776077886,1438.0
میشه,0.5417246175243393,میشه,0.45827538247566063,1438.0
سوخته,0.18004187020237264,سوخته,0.8199581297976274,1433.0
بدون,0.3013986013986014,بدون,0.6986013986013986,1430.0
چی,0.651048951048951,چی,0.34895104895104895,1430.0
توی,0.3738450604122246,توی,0.6261549395877755,1407.0
خرید,0.3537803138373752,خرید,0.6462196861626248,1402.0
وقتی,0.29804205946337925,وقتی,0.7019579405366208,1379.0
کلا,0.2692026335040234,کلا,0.7307973664959766,1367.0
چون,0.44804716285924834,چون,0.5519528371407516,1357.0
اگر,0.5449695121951219,اگر,0.45503048780487804,1312.0
معمولی,0.3570336391437309,معمولی,0.6429663608562691,1308.0
توجه,0.5145705521472392,توجه,0.4854294478527607,1304.0
کنید,0.49145962732919257,کنید,0.5085403726708074,1288.0
کردم,0.34281200631911535,کردم,0.6571879936808847,1266.0
مناسب,0.6351351351351351,مناسب,0.36486486486486486,1258.0
بوی,0.1869530628480509,بوی,0.8130469371519491,1257.0
قارچ,0.339171974522293,قارچ,0.660828025477707,1256.0
است,0.4246575342465753,است,0.5753424657534246,1241.0
طول,0.3058252427184466,طول,0.6941747572815534,1236.0
میداد,0.1794238683127572,میداد,0.8205761316872427,1215.0
آب,0.2947976878612717,آب,0.7052023121387283,1211.0
افتضاح,0.04568527918781726,افتضاح,0.9543147208121827,1182.0
دفعه,0.3653355989804588,دفعه,0.6346644010195412,1177.0
جعبه,0.3069053708439898,جعبه,0.6930946291560103,1173.0
برگر,0.40854700854700854,برگر,0.5914529914529915,1170.0
سیر,0.44779982743744606,سیر,0.5522001725625539,1159.0
دست,0.3716508210890233,دست,0.6283491789109766,1157.0
یکی,0.42358078602620086,یکی,0.5764192139737991,1145.0
زود,0.8493870402802102,زود,0.15061295971978983,1142.0
انگار,0.18270079435127978,انگار,0.8172992056487202,1133.0
برخورد,0.6918967052537845,برخورد,0.3081032947462155,1123.0
مقدار,0.6096687555953447,مقدار,0.39033124440465533,1117.0
یکم,0.800543970988214,یکم,0.19945602901178605,1103.0
داره,0.4305177111716621,داره,0.5694822888283378,1101.0
بالا,0.41979835013748856,بالا,0.5802016498625114,1091.0
خام,0.1457378551787351,خام,0.854262144821265,1091.0
خوردن,0.16930232558139535,خوردن,0.8306976744186046,1075.0
