Happy_comment_word,Happy_number_use_for_word,Sad_comment_word,Sad_number_use_for_word,All_number_use_for_word
و,27623.0,و,31691.0,59314.0
بود,23647.0,بود,26661.0,50308.0
به,10153.0,به,12754.0,22907.0
از,9823.0,از,12284.0,22107.0
که,7958.0,که,14022.0,21980.0
خیلی,10854.0,خیلی,8594.0,19448.0
هم,8823.0,هم,8996.0,17819.0
غذا,6211.0,غذا,9008.0,15219.0
کیفیت,6018.0,کیفیت,7812.0,13830.0
با,5964.0,با,7865.0,13829.0
خوب,9763.0,خوب,3825.0,13588.0
بود.,6433.0,بود.,6147.0,12580.0
سفارش,3522.0,سفارش,7750.0,11272.0
عالی,10546.0,عالی,634.0,11180.0
شده,3467.0,شده,7336.0,10803.0
این,3478.0,این,6744.0,10222.0
ولی,5485.0,ولی,4735.0,10220.0
در,4236.0,در,5916.0,10152.0
رو,3458.0,رو,5688.0,9146.0
من,3112.0,من,5608.0,8720.0
بسیار,3838.0,بسیار,4603.0,8441.0
پیتزا,2785.0,پیتزا,4854.0,7639.0
واقعا,2786.0,واقعا,4048.0,6834.0
اصلا,967.0,اصلا,5610.0,6577.0
سرد,1582.0,سرد,4951.0,6533.0
نبود,1794.0,نبود,4322.0,6116.0
فقط,3752.0,فقط,2276.0,6028.0
ارسال,2406.0,ارسال,3140.0,5546.0
خوشمزه,4789.0,خوشمزه,686.0,5475.0
یک,1605.0,یک,3469.0,5074.0
رسید,3167.0,رسید,1907.0,5074.0
طعم,2732.0,طعم,2289.0,5021.0
کم,2102.0,کم,2653.0,4755.0
مرغ,1420.0,مرغ,3323.0,4743.0
بد,639.0,بد,4042.0,4681.0
همیشه,3389.0,همیشه,1267.0,4656.0
تازه,3037.0,تازه,1572.0,4609.0
یه,1889.0,یه,2701.0,4590.0
ممنون,4233.0,ممنون,347.0,4580.0
پیک,2550.0,پیک,2020.0,4570.0
برای,1737.0,برای,2741.0,4478.0
تا,1472.0,تا,2945.0,4417.0
کاملا,1068.0,کاملا,3178.0,4246.0
بود،,2133.0,بود،,2088.0,4221.0
اما,2140.0,اما,2080.0,4220.0
سیب,1627.0,سیب,2512.0,4139.0
تحویل,1366.0,تحویل,2618.0,3984.0
همه,2651.0,همه,1173.0,3824.0
مثل,2695.0,مثل,1029.0,3724.0
مزه,1228.0,مزه,2482.0,3710.0
بسته,1846.0,بسته,1856.0,3702.0
بی,738.0,بی,2940.0,3678.0
سس,1585.0,سس,2066.0,3651.0
نان,1440.0,نان,2166.0,3606.0
بودم,1412.0,بودم,2130.0,3542.0
قیمت,1319.0,قیمت,2109.0,3428.0
گرم,2347.0,گرم,982.0,3329.0
اینکه,1401.0,اینکه,1923.0,3324.0
داشت,1278.0,داشت,1845.0,3123.0
متاسفانه,801.0,متاسفانه,2312.0,3113.0
رستوران,1113.0,رستوران,1978.0,3091.0
بودن,1232.0,بودن,1846.0,3078.0
حجم,1301.0,حجم,1732.0,3033.0
نسبت,1192.0,نسبت,1799.0,2991.0
اسنپ,1651.0,اسنپ,1281.0,2932.0
تو,1114.0,تو,1803.0,2917.0
زمینی,1069.0,زمینی,1742.0,2811.0
ساندویچ,1067.0,ساندویچ,1743.0,2810.0
داده,806.0,داده,1942.0,2748.0
بندی,1505.0,بندی,1243.0,2748.0
نون,953.0,نون,1748.0,2701.0
دیگه,639.0,دیگه,2060.0,2699.0
نداشت,733.0,نداشت,1965.0,2698.0
…,1166.0,…,1515.0,2681.0
راضی,1395.0,راضی,1230.0,2625.0
ساعت,443.0,ساعت,2178.0,2621.0
دادم,684.0,دادم,1926.0,2610.0
کیک,868.0,کیک,1703.0,2571.0
سریع,2294.0,سریع,207.0,2501.0
بار,814.0,بار,1683.0,2497.0
شیرینی,910.0,شیرینی,1585.0,2495.0
پایین,274.0,پایین,2148.0,2422.0
شد,856.0,شد,1563.0,2419.0
دو,759.0,دو,1590.0,2349.0
پنیر,675.0,پنیر,1658.0,2333.0
کرده,726.0,کرده,1588.0,2314.0
سالاد,862.0,سالاد,1443.0,2305.0
بعد,484.0,بعد,1818.0,2302.0
زیاد,1181.0,زیاد,1103.0,2284.0
را,837.0,را,1443.0,2280.0
گوشت,545.0,گوشت,1679.0,2224.0
بیشتر,1094.0,بیشتر,1124.0,2218.0
موقع,1842.0,موقع,349.0,2191.0
فود,1178.0,فود,995.0,2173.0
مونده,316.0,مونده,1814.0,2130.0
دستم,1265.0,دستم,857.0,2122.0
کباب,778.0,کباب,1338.0,2116.0
کل,1210.0,کل,899.0,2109.0
سلام,1000.0,سلام,1086.0,2086.0
قبل,610.0,قبل,1292.0,1902.0
خشک,449.0,خشک,1449.0,1898.0
زمان,1105.0,زمان,785.0,1890.0
مشتری,780.0,مشتری,1049.0,1829.0
چیز,1136.0,چیز,692.0,1828.0
ما,704.0,ما,1122.0,1826.0
جوجه,728.0,جوجه,1057.0,1785.0
نه,492.0,نه,1286.0,1778.0
هر,751.0,هر,1014.0,1765.0
خوبی,951.0,خوبی,811.0,1762.0
برنج,584.0,برنج,1166.0,1750.0
نبود.,507.0,نبود.,1229.0,1736.0
قابل,422.0,قابل,1286.0,1708.0
باشه,893.0,باشه,803.0,1696.0
بهتر,1136.0,بهتر,548.0,1684.0
